source,ref,field,error_type,message,span,snippet
"PYQ","0026b905-6291-40fc-9316-d364a4634acc","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 516: …d{array}\right]$̲ \end{aligned} "," \begin{aligned} A &=\left[\begin{array}{rr} -1 & 0 \\ 1 & -1 \end{array}\right] \\ s I-A&=\left[\begin{array}{cc} s+1 & 0 \\ -1 & s+1 \end{array}\right] \\ [s I-A]^{-1}&=\frac{1}{(s+1) \times (s+1)}\left[\begin{array}{cc} s+1 & 0 \\ 1 & s+1 \end{array}\right]\\ [s I-A]^{-1}&=\left[\begin{array}{cc}","$\begin{aligned} A &=\left[\begin{array}{rr} -1 & 0 \\ 1 & -1 \end{array}\right] \\ s I-A&=\left[\begin{array}{cc} s+1 & 0 \\ -1 & s+1 \end{array}\right] \\ [s I-A]^{-1}&=\frac{1}{(s+1) \times(s+1)}\l"
"PYQ","0029bff2-2443-46d3-b672-5f2c97761caf","explanation","Unexpected character: '\'","KaTeX parse error: Unexpected character: '\' at position 40: …\text{T}}^{-2}]\̲","[{\text{M}} {\text{L}} {\text{T}}^{-2}]\","As we know that, The dimensional formula of following terms are (a) [ Torque ] = [ Radius ] × [ Force ] $=[{\text{M}}^{0} {\text{LT}}^{0}][{\text{M}} {\text{L}} {\text{T}}^{-2}]=[{\text{ML}}^{2} {\tex"
"PYQ","0029bff2-2443-46d3-b672-5f2c97761caf","explanation","Unexpected character: '\'","KaTeX parse error: Unexpected character: '\' at position 20: …ext{MLT}}^{-2}]\̲","[{\text{MLT}}^{-2}]\","As we know that, The dimensional formula of following terms are (a) [ Torque ] = [ Radius ] × [ Force ] $=[{\text{M}}^{0} {\text{LT}}^{0}][{\text{M}} {\text{L}} {\text{T}}^{-2}]=[{\text{ML}}^{2} {\tex"
"PYQ","0029bff2-2443-46d3-b672-5f2c97761caf","explanation","Expected '…', got '}'","KaTeX parse error: Expected 'EOF', got '}' at position 1: }̲/{[{\text{L}}]}…","}/{[{\text{L}}]}=[{\text{MT}}^{-2}]","As we know that, The dimensional formula of following terms are (a) [ Torque ] = [ Radius ] × [ Force ] $=[{\text{M}}^{0} {\text{LT}}^{0}][{\text{M}} {\text{L}} {\text{T}}^{-2}]=[{\text{ML}}^{2} {\tex"
"PYQ","01274800-93e8-44f0-b9f8-fa416b233b80","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 169: …y(s)\$[s^22s+1]$̲-(s \times  -2)…"," \begin{aligned} &\frac{d^2y(t)}{dt^2}+2\frac{dy(t)}{dt}+y(t)=\delta (t)\\ &\Rightarrow \; s^2y(s)-sy(0)-y'(0)+2[sy(s)-y(0)]\\&+y(s)=1\\ &\Rightarrow \; y(s)\$[s^22s+1]$-(s \times  -2)-y(0)\\&-(2 \times  -2)=1\\ &\Rightarrow \; y(s)\$[s^2+2a+1]$=-2s-3\\ &\Rightarrow \;y(s)=\frac{-2s-3}{s^2+2s+1}=\fr","$\begin{aligned} &\frac{d^2y(t)}{dt^2}+2\frac{dy(t)}{dt}+y(t)=\delta (t)\\ &\Rightarrow \; s^2y(s)-sy(0)-y'(0)+2[sy(s)-y(0)]\\&+y(s)=1\\ &\Rightarrow \; y(s)[s^22s+1]-(s \times -2)-y(0)\\&-(2 \times -"
"PYQ","0252ec85-64d8-4c80-adf9-41c19c8ba239","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 2:  $̲[e^x]_0^1 = e^1…"," $[e^x]_0^1 = e^1 - e^0 = e - 1 ","Evaluating a limit of a sum as $n$ approaches infinity involves recognizing it as a definite integral of the form $\int_0^1 f(x) dx$, derived from the Riemann sum definition $\lim_{n\to\infty} \sum_{r"
"PYQ","03abd876-dde4-4f2e-919d-ab88ae7357f9","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …^{15}-1\right]}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …^{15}-1\right]}","=\frac{365 \mathrm{ADF}\left((1+r)^{n}-1\right)}{r \times  10^{6}} \times  \mathrm{LSF}=\frac{365 \times  973.32 \times  1 \times  4.67 \times \left[1.04^{15}-1\right]}","Number of commercial vehicles $=800$ vehicles per day For vehicle growth rate of $4 \%$ , Number of commercial vehicles after construction period, $A=800 \times[1+0.04]^{5}=973.32 \text { veh }$ Vehic"
"PYQ","03c4c9dd-7d34-4e86-9d45-523e06780ac1","question_text","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 1: ̲rac{1}{4}","rac{1}{4}","In a Young's double slit experiment, the intensity at a point is $rac{1}{4}$th of the maximum intensity, the minimum distance of the point from the central maximum is ______ $\mu\text{m}$.(Given : $\"
"PYQ","04687a61-cabc-424b-ba13-016a1b034970","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: ….76 \text{ wt%}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: ….76 \text{ wt%}","0.76 \text{ wt%}","The question describes an Iron-Carbon alloy at room temperature with pro-eutectoid ferrite and pearlite. Pro-eutectoid ferrite forms from austenite *above* the eutectoid temperature ($727^\circ \text{"
"PYQ","04de2012-a04a-4b66-907f-7dcb81f30cb4","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Fe}^{2+}]}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Fe}^{2+}]}","0.712 = 0.771 - \frac{0.059}{1} \log \frac{[\mathrm{Fe}^{2+}]}","The Nernst equation serves as the governing principle for calculating the reaction quotient when the cell potential deviates from standard conditions. In the given electrochemical setup, hydrogen unde"
"PYQ","04de2012-a04a-4b66-907f-7dcb81f30cb4","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Fe}^{2+}]}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Fe}^{2+}]}","0.059 \log \frac{[\mathrm{Fe}^{2+}]}","The Nernst equation serves as the governing principle for calculating the reaction quotient when the cell potential deviates from standard conditions. In the given electrochemical setup, hydrogen unde"
"PYQ","04de2012-a04a-4b66-907f-7dcb81f30cb4","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Fe}^{2+}]}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Fe}^{2+}]}","0.059 \log \frac{[\mathrm{Fe}^{2+}]}","The Nernst equation serves as the governing principle for calculating the reaction quotient when the cell potential deviates from standard conditions. In the given electrochemical setup, hydrogen unde"
"PYQ","04de2012-a04a-4b66-907f-7dcb81f30cb4","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Fe}^{2+}]}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Fe}^{2+}]}","\log \frac{[\mathrm{Fe}^{2+}]}","The Nernst equation serves as the governing principle for calculating the reaction quotient when the cell potential deviates from standard conditions. In the given electrochemical setup, hydrogen unde"
"PYQ","0580718d-1c20-4023-a4d7-551c1b3e376b","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Zn}^{2+}]}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Zn}^{2+}]}","Q = \frac{[\mathrm{Zn}^{2+}]}","Calculating the potential of a galvanic cell operating under non-standard conditions requires the Nernst equation, which adjusts the standard cell potential based on the reaction quotient and the conc"
"PYQ","05d31919-758e-4e3e-8d0a-dc43410527e3","question_text","Unexpected end of input in a macro argument, expected '}' at end of input: …rm{M}^{+}(aq)]}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …rm{M}^{+}(aq)]}","\frac{[\mathrm{M}^{+}(aq)]}","$\mathrm{Pt}(s) \mathrm{H}_2(g) (1\,\text{bar}) | \mathrm{H}^{+}(aq) (1\,\text{M}) || \mathrm{M}^{3+}(aq), \mathrm{M}^{+}(aq) | \mathrm{Pt}(s)$The $E_{\text{cell}}$ for the given cell is $0.1115\,\tex"
"PYQ","05d31919-758e-4e3e-8d0a-dc43410527e3","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …mathrm{M}^{+}]}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …mathrm{M}^{+}]}","Q = \frac{[\mathrm{M}^{+}]}","The Nernst equation serves as the fundamental principle for relating the cell potential to the reaction quotient and standard electrode potential under non-standard conditions. The electrochemical cel"
"PYQ","05d31919-758e-4e3e-8d0a-dc43410527e3","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …mathrm{M}^{+}]}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …mathrm{M}^{+}]}","0.1115 = 0.2 - \frac{0.059}{2} \log \frac{[\mathrm{M}^{+}]}","The Nernst equation serves as the fundamental principle for relating the cell potential to the reaction quotient and standard electrode potential under non-standard conditions. The electrochemical cel"
"PYQ","06a51ccc-b801-4ca5-a59a-6cc4529efb2c","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 165: …X^{2}(t)\right]$̲&=\frac{1}{\pi}…"," \begin{aligned} P=E\left[X^{2}(t)\right]\$\&=2 \times  \frac{1}{2 \pi} \int_{9 \times  10^{3}}^{11 \times  10^{3}} S_{x}(\omega) d \omega \\ E\left[X^{2}(t)\right]$&=\frac{1}{\pi}\left[400+\frac{1}{2} \times  6 \times  2 \times  10^{3}\right]\$ \\ E\left[X^{2}(t)\right]$&=\frac{6400}{\pi} \end{alig","We know that $E\left[X^{2}(t)\right]$ represent the total power in random signal. So $\begin{aligned} P=E\left[X^{2}(t)\right]&=2 \times \frac{1}{2 \pi} \int_{9 \times 10^{3}}^{11 \times 10^{3}} S_{x}"
"PYQ","078c5496-a5ef-4221-9a57-a85cde0e3999","explanation","Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Fe}^{2+}]}","KaTeX parse error: Unexpected end of input in a macro argument, expected '}' at end of input: …thrm{Fe}^{2+}]}","Q = \frac{[\mathrm{Fe}^{2+}]}","According to the Nernst equation $E_{\text{cell}} = E^\circ_{\text{cell}} - \frac{0.0591}{n} \log Q$, the cell potential increases when the reaction quotient $Q = \frac{[\mathrm{Fe}^{2+}]}{[\mathrm{Fe"
"PYQ","078c5496-a5ef-4221-9a57-a85cde0e3999","explanation","Unexpected character: '\'","KaTeX parse error: Unexpected character: '\' at position 16: [\mathrm{Cl}^-]\̲","[\mathrm{Cl}^-]\","According to the Nernst equation $E_{\text{cell}} = E^\circ_{\text{cell}} - \frac{0.0591}{n} \log Q$, the cell potential increases when the reaction quotient $Q = \frac{[\mathrm{Fe}^{2+}]}{[\mathrm{Fe"
"PYQ","07e9ebbb-e78c-48aa-a3cf-5e3705b35fac","explanation","Can'…'$' in math mode","KaTeX parse error: Can't use function '$' in math mode at position 127: …infty  }m(t)dt]$̲\end{aligned} "," \begin{aligned}S(t)_{pm}&=A_c \cos [2\pi f_{c}t+k_pm(t)]\\ S(t)_{Fm}&=A_c \cos \$[2\pi f_{c}t+k_{f}\int_{0}^{\infty  }m(t)dt]$\end{aligned} ","$\begin{aligned}S(t)_{pm}&=A_c \cos [2\pi f_{c}t+k_pm(t)]\\ S(t)_{Fm}&=A_c \cos [2\pi f_{c}t+k_{f}\int_{0}^{\infty }m(t)dt]\end{aligned}$ Instantaneous frequency are equal $\begin{aligned}f_{i}&=\frac"
"PYQ","08eed183-ca07-4d4b-a20f-04657ae7a00a","explanation","Expected '…', got '…' at end of input: …ac{[B]}{[BH^+]}","KaTeX parse error: Expected '\right', got 'EOF' at end of input: …ac{[B]}{[BH^+]}","pH = 14 - pK_b + \log \left( \frac{[B]}{[BH^+]}","The pH of a buffer solution involving a weak base is determined by the equation $pH = 14 - pK_b + \log \left( \frac{[B]}{[BH^+]} \right)$, where $[B]$ is the concentration of the unreacted weak base a"
"PYQ","08f32a4b-7499-4e33-a1af-8e2da8fd0a9c","explanation","Unexpected character: ''","KaTeX parse error: Unexpected character: '' at position 22: …alpha+\frac{1}{̲\eta})(\beta+\f…","P = (\alpha+\frac{1}{\eta})(\beta+\frac{1}{\alpha})","For any quadratic equation $x^2-Sx+P=0$, the sum of the roots is $S = \alpha+\beta+\frac{1}{\alpha}+\frac{1}{\beta}$ and the product is $P = (\alpha+\frac{1}{eta})(\beta+\frac{1}{\alpha})$. Given the"
