black_ratio,image_ref,width,height,ref_count,models,url
"0.9958","topicwise/cse_for-the-distributions-given-below-w_img1.webp","200","75","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/topicwise/cse_for-the-distributions-given-below-w_img1.webp?tr=f-auto,q-auto"
"0.9936","topicwise/cse_fig-below-shows-the-circuit-diagram_img1.webp","200","183","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/topicwise/cse_fig-below-shows-the-circuit-diagram_img1.webp?tr=f-auto,q-auto"
"0.9927","topicwise/cse_consider-the-following-circuit-the_img1.webp","200","107","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/topicwise/cse_consider-the-following-circuit-the_img1.webp?tr=f-auto,q-auto"
"0.9892","topicwise/cse_the-above-circuit-produces-the-outp_img1.webp","200","66","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/topicwise/cse_the-above-circuit-produces-the-outp_img1.webp?tr=f-auto,q-auto"
"0.9767","topicwise/cse_the-minimum-boolean-expression-for_img1.webp","200","109","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/topicwise/cse_the-minimum-boolean-expression-for_img1.webp?tr=f-auto,q-auto"
"0.8990","topicwise/cse_the-circuit-given-in-the-figure-bel_img1.webp","200","46","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/topicwise/cse_the-circuit-given-in-the-figure-bel_img1.webp?tr=f-auto,q-auto"
"0.8898","521259_img1.png","166","200","1","generatedQuestion","https://ik.imagekit.io/kdm0ytilx/pattern-master/521259_img1.png?tr=f-auto,q-auto"
"0.8227","q45_opt0_n_images_content_2024_05_02_image1_5994ee041714643113936_png.png","200","143","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q45_opt0_n_images_content_2024_05_02_image1_5994ee041714643113936_png.png?tr=f-auto,q-auto"
"0.8102","q45_opt2_n_images_content_2024_05_02_image1_1efc42851714643115055_png.png","200","145","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q45_opt2_n_images_content_2024_05_02_image1_1efc42851714643115055_png.png?tr=f-auto,q-auto"
"0.8028","q45_opt3_n_images_content_2024_05_02_image1_2aa97af11714643115585_png.png","200","145","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q45_opt3_n_images_content_2024_05_02_image1_2aa97af11714643115585_png.png?tr=f-auto,q-auto"
"0.8021","q45_opt1_n_images_content_2024_05_02_image1_74f0bab01714643114475_png.png","200","145","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q45_opt1_n_images_content_2024_05_02_image1_74f0bab01714643114475_png.png?tr=f-auto,q-auto"
"0.7976","structural_organisation_in_animals/neet_structural-organisation-in-animals_q043_img1.webp","111","200","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/structural_organisation_in_animals/neet_structural-organisation-in-animals_q043_img1.webp?tr=f-auto,q-auto"
"0.7918","24_feb_s1_optfix_what-is-the-final-product-majo_img3_optB_20260512_084439.webp","149","99","1","MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/24_feb_s1_optfix_what-is-the-final-product-majo_img3_optB_20260512_084439.webp?tr=f-auto,q-auto"
"0.7824","q43_n_images_content_2024_05_02_image1_61e0865c1714643284115_png.png","200","113","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q43_n_images_content_2024_05_02_image1_61e0865c1714643284115_png.png?tr=f-auto,q-auto"
"0.7075","q34_n_images_content_2024_05_02_image1_cc92d9591714643154475_png.png","200","92","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q34_n_images_content_2024_05_02_image1_cc92d9591714643154475_png.png?tr=f-auto,q-auto"
"0.7027","principles_of_inheritance_and_variation_questions_part_3/neet_principles-of-inheritance-and-variation-questions-part-3_q032_img3.webp","95","81","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/principles_of_inheritance_and_variation_questions_part_3/neet_principles-of-inheritance-and-variation-questions-part-3_q032_img3.webp?tr=f-auto,q-auto"
"0.6980","q45_n_images_content_2024_05_02_image1_6c656a551714643113379_png.png","200","97","2","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q45_n_images_content_2024_05_02_image1_6c656a551714643113379_png.png?tr=f-auto,q-auto"
"0.5622","cell_the_unit_of_life_questions_part_1/neet_cell-the-unit-of-life-questions-part-1_q019_img1.webp","130","200","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/cell_the_unit_of_life_questions_part_1/neet_cell-the-unit-of-life-questions-part-1_q019_img1.webp?tr=f-auto,q-auto"
"0.5555","cell_the_unit_of_life_questions_part_2/neet_cell-the-unit-of-life-questions-part-2_q065_img1.webp","131","200","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/cell_the_unit_of_life_questions_part_2/neet_cell-the-unit-of-life-questions-part-2_q065_img1.webp?tr=f-auto,q-auto"
"0.5259","topicwise/cse_the-logic-circuit-given-below-conve_img1.webp","200","134","1","pYQ","https://ik.imagekit.io/kdm0ytilx/pattern-master/topicwise/cse_the-logic-circuit-given-below-conve_img1.webp?tr=f-auto,q-auto"
"0.4620","q27_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png","18","19","4","pYQ MockTestTemplate","https://ik.imagekit.io/kdm0ytilx/pattern-master/q27_exp_epp_in_uploads_production_images_content_2022_05_12_star_png.png?tr=f-auto,q-auto"
